iter	Passed	Remaining
788	8742	2337
789	8752	2326
790	8769	2317
791	8780	2305
792	8787	2293
793	8799	2282
794	8816	2273
795	8826	2262
796	8840	2251
797	8851	2240
798	8865	2230
799	8883	2220
800	8890	2208
801	8897	2196
802	8905	2184
803	8915	2173
804	8926	2162
805	8936	2150
806	8947	2139
807	8957	2128
808	8968	2117
809	8983	2107
810	8994	2096
811	9003	2084
812	9014	2073
813	9023	2061
814	9036	2051
815	9046	2039
816	9057	2028
817	9066	2017
818	9079	2006
819	9092	1995
820	9102	1984
821	9111	1973
822	9123	1962
823	9130	1950
824	9142	1939
825	9151	1927
826	9161	1916
827	9168	1904
828	9179	1893
829	9189	1882
830	9199	1870
831	9209	1859
832	9217	1847
833	9226	1836
834	9236	1825
835	9245	1813
836	9255	1802
837	9264	1791
838	9275	1779
839	9282	1768
840	9292	1756
841	9303	1745
842	9312	1734
843	9323	1723
844	9332	1711
845	9339	1700
846	9351	1689
847	9366	1678
848	9376	1667
849	9386	1656
850	9399	1645
851	9408	1634
852	9419	1623
853	9427	1611
854	9442	1601
855	9453	1590
856	9467	1579
857	9476	1568
858	9487	1557
859	9495	1545
860	9506	1534
861	9520	1524
862	9534	1513
863	9545	1502
864	9555	1491
865	9569	1480
866	9584	1470
867	9593	1458
868	9602	1447
869	9614	1436
870	9625	1425
871	9633	1414
872	9649	1403
873	9664	1393
874	9674	1382
875	9684	1370
876	9695	1359
877	9708	1349
878	9727	1338
879	9738	1328
880	9749	1316
881	9778	1308
882	9801	1298
883	9821	1288
884	9837	1278
885	9852	1267
886	9867	1257
887	9880	1246
888	9892	1235
889	9908	1224
890	9917	1213
891	9929	1202
892	9942	1191
893	9952	1180
894	9967	1169
895	9977	1158
896	9997	1147
897	10006	1136
898	10015	1125
899	10026	1114
900	10035	1102
901	10047	1091
902	10061	1080
903	10076	1070
904	10093	1059
905	10109	1048
906	10118	1037
907	10129	1026
908	10141	1015
909	10149	1003
910	10157	992
911	10171	981
912	10183	970
913	10194	959
914	10211	948
915	10225	937
916	10236	926
917	10245	915
918	10260	904
919	10275	893
920	10286	882
921	10297	871
922	10316	860
923	10324	849
924	10332	837
925	10342	826
926	10352	815
927	10361	803
928	10372	792
929	10387	781
930	10398	770
931	10410	759
932	10425	748
933	10446	738
934	10456	726
935	10466	715
936	10479	704
937	10491	693
938	10510	682
939	10524	671
940	10537	660
941	10554	649
942	10574	639
943	10590	628
944	10603	617
945	10624	606
946	10635	595
947	10643	583
948	10655	572
949	10675	561
950	10688	550
951	10701	539
952	10708	528
953	10717	516
954	10727	505
955	10742	494
956	10759	483
957	10777	472
958	10801	461
959	10828	451
960	10853	440
961	10868	429
962	10882	418
963	10894	406
964	10911	395
965	10925	384
966	10939	373
967	10955	362
968	10970	350
969	10982	339
970	10998	328
971	11008	317
972	11022	305
973	11037	294
974	11051	283
975	11062	272
976	11072	260
977	11088	249
978	11103	238
979	11113	226
980	11128	215
981	11140	204
982	11153	192
983	11169	181
984	11185	170
985	11202	159
986	11217	147
987	11230	136
988	11243	125
989	11259	113
990	11282	102
991	11296	91
992	11313	79
993	11324	68
994	11338	56
995	11351	45
996	11370	34
997	11383	22
998	11395	11
999	11404	0
